Front	Back	Tags
02_01_为什么多周期共振看似提高确认度，实际却常把交易系统推向复杂化？	<b>核心答案：</b><br>周期越多，等待、过滤和例外规则越多，执行者更容易事后挑选有利信号。<br><b>原文引用：</b><p>“进来以后，在大周期上，确实是开始赚钱了。为什么外汇赚不了钱，期货可以赚钱呢？当时我认为应该是外汇24小时，期货一天就几小时，所以资金在期货的K线里是充分碰撞的，不像外汇，欧美亚三个区的人是要轮流开盘和睡觉的，所以期货的假动作、骗线整体上比外汇要少。”</p><br><b>总结提炼：</b><br>判断焦点：周期越多，等待、过滤和例外规则越多，执行者更容易事后挑选有利信号。<br>检验方式：减少过滤器后，仍能清楚写出信号、执行和失效条件。<br>复盘提醒：复杂解释不等于更强的交易优势。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“多周期叠加”只保留少数可写清的随机指标条件，预先定义进场、离场和失效位置；连续记录后把偏差区分为规则失效、执行失误或样本波动，再判断规则是否有用。<br><b>反面例子：</b>交易者围绕“多周期叠加”不断叠加周期、参数和主观过滤器，任何走势都能事后解释，却无法在盘中稳定复现同一动作；复盘时也说不清究竟是哪一条条件改变了决策。	交易的真相：从1000到1.83亿 第4章 随机指标和多周期共振 多周期叠加 因果推理 主动回忆
05_01_决策：当“回到简单验证”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>先把规则写成少量、明确、可复核的条件，再用连续样本检验，而不是继续添加过滤器。<br><b>原文引用：</b><p>“当碰到趋势比较纠结的时候，或者是趋势方向明确但呈现出慢速爬行的姿态时，这个指标应用起来就会比较痛苦。当趋势明确的时候，如果机械地按照指标买入卖出，逆着趋势的单子也很难赚钱。”</p><p>“怎么办呢？必须要过滤一下。有趋势书里提到过周期共振，我很快就开始用上了，同时用两个周期吧，4小时和1小时。”</p><br><b>总结提炼：</b><br>判断焦点：先把规则写成少量、明确、可复核的条件，再用连续样本检验，而不是继续添加过滤器。<br>检验方式：减少过滤器后，仍能清楚写出信号、执行和失效条件。<br>复盘提醒：复杂解释不等于更强的交易优势。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“回到简单验证”只保留少数可写清的随机指标条件，预先定义进场、离场和失效位置；连续记录后把偏差区分为规则失效、执行失误或样本波动，再判断规则是否有用。<br><b>反面例子：</b>交易者围绕“回到简单验证”不断叠加周期、参数和主观过滤器，任何走势都能事后解释，却无法在盘中稳定复现同一动作；复盘时也说不清究竟是哪一条条件改变了决策。	交易的真相：从1000到1.83亿 第4章 随机指标和多周期共振 回到简单验证 决策规则 主动回忆
01_01_为什么成交量即使伴随突破或见顶，也很难单独证明行情会按某个方向延续？	<b>核心答案：</b><br>放量可能伴随突破或见顶，但不能单独证明突破有效或走势必然延续。<br><b>原文引用：</b><p>“我顺带说一句，成交量对价格的意义，我也认为很难利用。突破和见顶底通常会放量没有错，但是这个和突破是真是假、是否有效，没有任何关系。成交量低迷的上涨和下跌无力，没有错，但是成交量高的上涨和下跌就有效吗？未必。”</p><p>“话说我误入歧途，和我的一个朋友有点关系。”</p><br><b>总结提炼：</b><br>关键判断：放量可能伴随突破或见顶，但不能单独证明突破有效或走势必然延续。<br>检验方式：把“成交量的有限解释”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“成交量的有限解释”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“成交量的有限解释”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第5章 持仓迷局 成交量的有限解释 概念回忆 主动回忆
02_01_把偶然观察到的持仓规律当成可靠交易依据，会怎样把规律感变成亏损来源？	<b>核心答案：</b><br>他把偶然观察当成可靠规律，贸然进入黄金市场并承担了巨大损失。<br><b>原文引用：</b><p>“就比如说我，自以为发现了个真相，也没有多想想，心里一下觉得窥破了终极奥秘似的，马上就着急应用。我看了当时黄金的持仓分析，已经和上一个持仓高点打平还略超了，于是我就认为要反转了。兴高采烈地买入/卖出（我已经不记得我是买入还是卖出了），我记得是一个周五，当天走的还符合预期，结果过了个周末，我就被封在跌停板（或者是涨停板），连续三天不能出来。”</p><br><b>总结提炼：</b><br>关键判断：他把偶然观察当成可靠规律，贸然进入黄金市场并承担了巨大损失。<br>检验方式：把“持仓规律的幻觉”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“持仓规律的幻觉”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“持仓规律的幻觉”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第5章 持仓迷局 持仓规律的幻觉 误区辨析 主动回忆
05_01_决策：当“失效后的退出”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>如果价格没有快速离开成本位且波动变慢，止损概率动态上升，应尽快离场。<br><b>原文引用：</b><p>“说来说去，我这个阶段其实就是在不断地试图以各种形式预测市场。预测市场和伴随而来的抄底摸顶这种心理，是多数交易者的心魔，虽然你可能完全知道这条路不对，但是它随时会在你心里不在意的时候、薄弱的时候、骄傲的时候，默默地卷土重来。”</p><br><b>总结提炼：</b><br>关键判断：如果价格没有快速离开成本位且波动变慢，止损概率动态上升，应尽快离场。<br>检验方式：把“失效后的退出”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“失效后的退出”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“失效后的退出”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第5章 持仓迷局 失效后的退出 决策规则 主动回忆
01_01_不下马系统试图怎样用近几根 K 线的突破条件，减少对市场方向的主观预测？	<b>核心答案：</b><br>用近几根K线的突破条件触发做多或做空，尽量不预测方向。<br><b>原文引用：</b><p>“痛定思痛，我决定研究一种完全不预测市场的系统，很快我就想出了一个极简的系统，简单地在近几周的几个外汇图表上模拟测试表明可以盈利，迅速上马，用这个系统我十几天赚了6倍。”</p><p>“经过以上种种，我痛定思痛，决定研究一种完全不预测市场的系统。”</p><br><b>总结提炼：</b><br>关键判断：用近几根K线的突破条件触发做多或做空，尽量不预测方向。<br>检验方式：把“极简突破规则”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“极简突破规则”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“极简突破规则”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第6章 迷上了不下马交易 极简突破规则 概念回忆 主动回忆
02_01_诊断：若交易者把“短样本盈利”当作无需样本验证的通用规律，他最可能忽略哪些条件、证据或风险边界？	<b>核心答案：</b><br>短样本可能恰逢适合系统的行情，无法覆盖不同状态、成本和执行偏差。<br><b>原文引用：</b><p>“由于在过滤器的研究里，我开始应用均线作为过滤，慢慢对均线有了一定了解。其实早就知道很多人的系统里都有均线的影子，但是我一直没有应用过，因为我主观上觉得均线是一个滞后的指标，均线是平均价格的反应，属于事后看有效，其实是幻觉类的指标，类似我曾采用的趋势线。”</p><br><b>总结提炼：</b><br>关键判断：短样本可能恰逢适合系统的行情，无法覆盖不同状态、成本和执行偏差。<br>检验方式：把“短样本盈利”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“短样本盈利”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“短样本盈利”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第6章 迷上了不下马交易 短样本盈利 边界反例 主动回忆
03_01_当简单突破系统叠加杠杆时，小幅价格波动为什么会迅速变成账户级风险？	<b>核心答案：</b><br>杠杆把小幅价格波动放大为账户波动，使错误规则和连续亏损更快造成重大损失。<br><b>原文引用：</b><p>“我国期货市场也有位奇人，浓汤野人林广袤。棉花一战，他600万直接进场，扛到浮亏60%依旧坚持，最后600万变成20亿。所以他这种手法，后面又亏掉10亿，最后转战股票，如今泯然众人，这难道不是再正常不过的事吗？”</p><p>“投机交易，最怕的不是一直亏损，而是用了错误而危险的方法却赌对了、赚了钱，甚至还是大钱。”</p><br><b>总结提炼：</b><br>风险焦点：杠杆把小幅价格波动放大为账户波动，使错误规则和连续亏损更快造成重大损失。<br>检验方式：先定义最大可承受损失和触发后的动作，再考虑收益空间。<br>复盘提醒：风险边界应先于临场解释。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“杠杆与风险放大”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“杠杆与风险放大”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第6章 迷上了不下马交易 杠杆与风险放大 因果推理 主动回忆
05_01_决策：当“复盘与系统修正”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>先检查市场状态、执行偏差和规则原理，再决定是否修正，避免靠补丁追求完美。<br><b>原文引用：</b><p>“还有就是人为的失误率，由于人为地对形态的分型毕竟不是一个公式，有时我们会面临形态似是而非的情况，又像A又像B怎么样？下单前像A，下单后猛然发现像F？该做单的时候，由于没注意，被叫走、犹豫等因素，而错过获利的形态（获利的单子通常都很快发生，留给你的反应时间通常比让你亏损的单子要少得多）。”</p><br><b>总结提炼：</b><br>关键判断：先检查市场状态、执行偏差和规则原理，再决定是否修正，避免靠补丁追求完美。<br>检验方式：把“复盘与系统修正”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“复盘与系统修正”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“复盘与系统修正”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第6章 迷上了不下马交易 复盘与系统修正 决策规则 主动回忆
01_01_为什么一群交易者在同一位置共同错过机会，可能暴露的是相似心理弱点？	<b>核心答案：</b><br>市场参与者拥有相近的做单思路和心理偏差，就可能在同一时刻做出相似错误。<br><b>原文引用：</b><p>“如果市场要让大多数人亏损，那么赚钱就是一件很难的事。所以我的犹豫、我的错过，它并不是一个巧合、一个随机事件。在那一瞬间，我不是孤单的一个人，市场上有很多个“我”正经历同样的事。我们为什么会一起错过，只能因为我们有相近的做单思路，一致的心理弱点。”</p><br><b>总结提炼：</b><br>关键判断：市场参与者拥有相近的做单思路和心理偏差，就可能在同一时刻做出相似错误。<br>检验方式：把“大众心理与共同错过”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“大众心理与共同错过”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“大众心理与共同错过”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第7章 逆向思维的萌芽 大众心理与共同错过 因果推理 主动回忆
03_01_决策：围绕“陷阱和假突破”作出下一步操作前，交易者应先核对什么，并据此如何决定继续、缩小或放弃？	<b>核心答案：</b><br>关注价格行为是否诱导多数人、突破是否得到延续、情绪是否已耗尽，再决定参与或等待。<br><b>原文引用：</b><p>“又为什么特别赚钱的行情经常都不给我进场的机会呢？一旦给机会，却又往往是陷阱呢？”</p><p>“我想来想去，只有一种解释，就是二八定律这张黑手在作怪。”</p><p>“市场如果要运作下去，天然就会符合少数人赚钱、多数人亏损这个定律。如果多数人都能赚钱，那么钱从哪来呢？”</p><br><b>总结提炼：</b><br>关键判断：关注价格行为是否诱导多数人、突破是否得到延续、情绪是否已耗尽，再决定参与或等待。<br>检验方式：把“陷阱和假突破”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“陷阱和假突破”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“陷阱和假突破”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第7章 逆向思维的萌芽 陷阱和假突破 应用判断 主动回忆
04_01_决策：当“少数派优势”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>优势必须体现为可观察、可复核的条件，否则“我与众不同”只是未经验证的信念。<br><b>原文引用：</b><p>“是的，到这里我们终于意识到短线中止盈的重要性了，当初我就是靠修正了这个概念得以扭转颓势，在市场里站住脚后，才有后续更高级的领悟，否则如果死掉了，那么一切都无从谈起了，这里先按下不表。”</p><p>“那么具体怎么止盈呢？我这里给各位提供三种思路：”</p><br><b>总结提炼：</b><br>关键判断：优势必须体现为可观察、可复核的条件，否则“我与众不同”只是未经验证的信念。<br>检验方式：把“少数派优势”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“少数派优势”先列出信息、技术、资源和执行上的可验证优势，以小资金检验稳定性后再决定是否扩大投入；无法说明优势来源时就保留职业和资金边界。<br><b>反面例子：</b>交易者把“少数派优势”中的一次灵感、偶然先机或参与愿望当作优势，在没有长期证据的情况下追加资金甚至把交易当成职业出口；当优势消失时才发现没有替代方案。	交易的真相：从1000到1.83亿 第7章 逆向思维的萌芽 少数派优势 决策规则 主动回忆
05_01_诊断：若交易者把“逆向而非反向”当作无需样本验证的通用规律，他最可能忽略哪些条件、证据或风险边界？	<b>核心答案：</b><br>不等于；逆向思维要求识别大众行为造成的条件与风险，而不是机械反向交易。<br><b>原文引用：</b><p>“这个时候我已经基本回到了原来那种思路，顺大逆小，在趋势开始时观望，等开始回撤了，差不多企稳了，小趋势反转出现苗头或者得到确认就进场，这个思路长线可以赚钱，但是中短线却很难搞。为什么呢？因为周期小，资金没有得到充分碰撞，形态不稳定？”</p><br><b>总结提炼：</b><br>关键判断：不等于；逆向思维要求识别大众行为造成的条件与风险，而不是机械反向交易。<br>检验方式：把“逆向而非反向”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“逆向而非反向”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“逆向而非反向”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第7章 逆向思维的萌芽 逆向而非反向 边界反例 主动回忆
01_01_等比例盈亏首先解决的是哪类失控问题，为什么它先从限制单笔损失开始？	<b>核心答案：</b><br>它先限制单笔交易的损失，帮助交易者摆脱持续被动割肉的状态。<br><b>原文引用：</b><p>“当我刚开始应用等比例盈亏的时候，虽然不怎么亏了，但是赚钱赚得也挺辛苦。这就暴露了一个问题：胜率不够。其实应用这个方法，本身可以提高胜率，但是即便如此，理论胜率不到70%，而实际胜率也就是略高于50%，大概60%左右。我一度挺困惑的，为什么研究投机这么久，经验满满，胜率怎么就提不上去呢？”</p><br><b>总结提炼：</b><br>关键判断：它先限制单笔交易的损失，帮助交易者摆脱持续被动割肉的状态。<br>检验方式：把“等比例盈亏”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“等比例盈亏”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“等比例盈亏”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第8章 交易的真相 等比例盈亏 概念回忆 主动回忆
02_01_用市场情绪理解顺势交易时，为什么要看推进速度、回撤和胶着状态的变化？	<b>核心答案：</b><br>观察推进速度、回撤和胶着状态，判断参与者力量是在增强还是衰减。<br><b>原文引用：</b><p>“这其实就是很多机械式规则的问题，这些规则里只考虑形态和指标，例如均线上只多不空，均线下只空不多。这种规则，是基于没有办法理解市场，又不得不设立规则的权宜之计，比什么规则都没有当然好，但是在我看来，如同刚学写字的幼童，仅仅是非常初级的手法。”</p><br><b>总结提炼：</b><br>关键判断：观察推进速度、回撤和胶着状态，判断参与者力量是在增强还是衰减。<br>检验方式：把“市场情绪”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“市场情绪”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“市场情绪”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第8章 交易的真相 市场情绪 因果推理 主动回忆
03_01_决策：当“等待与不参与”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>当情绪衰减、走势纠结或缺少清晰推进时，等待新信息比强行预测更合理。<br><b>原文引用：</b><p>“⑤在日内波段交易中，一旦市场陷入震荡，震荡后的趋势不论是反转还是重启延续，八成都是劣质的机会。很多所谓的重启，都是回光返照。很多所谓的反转，都是骗线。真正值得做的延续和反转，都来源于干净利落的行情而不是震荡，譬如深V反转。”</p><br><b>总结提炼：</b><br>关键判断：当情绪衰减、走势纠结或缺少清晰推进时，等待新信息比强行预测更合理。<br>检验方式：把“等待与不参与”对应的条件、证据和动作分开记录。<br>复盘提醒：能被复核并能指导动作的判断，才值得进入系统。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“等待与不参与”先写清条件、证据和下一步动作，再用连续记录检验判断是否仍然成立；复盘时能明确指出哪项事实支持或推翻了原来的结论。<br><b>反面例子：</b>交易者只凭“等待与不参与”的单次经验下结论，未定义失效边界，等到结果恶化才临时改变规则；这样既无法积累可比样本，也无法区分判断错误和执行偏差。	交易的真相：从1000到1.83亿 第8章 交易的真相 等待与不参与 决策规则 主动回忆
04_01_为什么止损不应只理解为固定价位，而应随着入场后情绪假设是否成立动态调整？	<b>核心答案：</b><br>若入场后价格长期停留成本附近，原先的情绪假设可能失效，应提前退出。<br><b>原文引用：</b><p>“正确地加码可以获得更多利润，不过“才”字过于绝对了，应该去掉。加码是一门复杂的学问，正确使用如同锦上添花，但也不是绝对必需的，可以算是一门选修课。”</p><p>“规则三：巨量即是套现良机。”</p><p>“所谓巨量，在我的解读而言，不如说是市场情绪的高潮，涨幅跌幅明显加速扩大。”</p><br><b>总结提炼：</b><br>风险焦点：若入场后价格长期停留成本附近，原先的情绪假设可能失效，应提前退出。<br>检验方式：先定义最大可承受损失和触发后的动作，再考虑收益空间。<br>复盘提醒：风险边界应先于临场解释。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“动态止损”先按账户风险确定仓位与退出线，触发边界后暂停并复核系统，而不是用更大仓位摊平原判断；复盘时把损失归入规则、执行或仓位三个维度。<br><b>反面例子：</b>交易者不愿承认“动态止损”相关判断失效，持仓越亏越加码，把不下马当成纪律；最终让单次交易决定账户命运，也失去重新检验系统的资金余量。	交易的真相：从1000到1.83亿 第8章 交易的真相 动态止损 深度专项 主动回忆
01_01_一套优秀交易系统为什么必须同时满足逻辑简单、主观少、进出场明确和仓位可控？	<b>核心答案：</b><br>逻辑简单、主观判断少、进出场明确，并配合有效的仓位管理。<br><b>原文引用：</b><p>“建立一个优秀的交易系统，我认为需要有如下条件：①逻辑简单明了；②把主观判断部分尽量减少，最好为0。③进场、出场有明确规则，进场规则最好只有一种，不超过二种（仅这一条就可以过滤无数种神棍式理论）。④有效的仓位管理模式。”</p><p>“建立一个优秀的交易系统，我认为需要有如下条件：”</p><br><b>总结提炼：</b><br>规则焦点：逻辑简单、主观判断少、进出场明确，并配合有效的仓位管理。<br>检验方式：把信号、进出场和仓位管理写成可重复执行的步骤。<br>复盘提醒：系统价值来自一致执行和边界，而非单次预测正确。<br><b>举例说明：</b><br><b>正面例子：</b>交易者把“逻辑简单”涉及的双K形态、进场位置、仓位和退出规则写成同一张执行清单，每次交易按相同顺序核对；任一条件不满足就放弃下单，不用临场感觉补充规则。<br><b>反面例子：</b>交易者只记得“逻辑简单”中一个看起来有效的K线形态，临盘再凭感觉补充仓位和退出理由，系统因此变成事后故事；亏损后又以市场特殊为由重写原来的规则。	交易的真相：从1000到1.83亿 第9章 一套简单有效的交易系统：阶梯双K交易法则 逻辑简单 概念回忆 主动回忆
02_01_为什么进场规则越多，系统越容易被事后解释和主观选择污染？	<b>核心答案：</b><br>规则越多，主观解释和事后选择空间越大，系统越难复核和执行。<br><b>原文引用：</b><p>“基于上述条件，我们来专门为本书建立一个高效优秀且足够简单的系统，并对该系统2019年的表现做详细的连续追踪。由于该系统在本书首发，为便于记忆，我们就暂命名其为“阶梯双K交易法则”。”</p><p>“交易标的：”</p><p>“任意成交活跃品种，在这里我们选取USD/JPY，以1小时周期作为示范。”</p><br><b>总结提炼：</b><br>规则焦点：规则越多，主观解释和事后选择空间越大，系统越难复核和执行。<br>检验方式：把信号、进出场和仓位管理写成可重复执行的步骤。<br>复盘提醒：系统价值来自一致执行和边界，而非单次预测正确。<br><b>举例说明：</b><br><b>正面例子：</b>交易者把“减少主观判断”涉及的双K形态、进场位置、仓位和退出规则写成同一张执行清单，每次交易按相同顺序核对；任一条件不满足就放弃下单，不用临场感觉补充规则。<br><b>反面例子：</b>交易者只记得“减少主观判断”中一个看起来有效的K线形态，临盘再凭感觉补充仓位和退出理由，系统因此变成事后故事；亏损后又以市场特殊为由重写原来的规则。	交易的真相：从1000到1.83亿 第9章 一套简单有效的交易系统：阶梯双K交易法则 减少主观判断 因果推理 主动回忆
05_01_决策：围绕“阶梯双K规则”作出下一步操作前，交易者应先核对什么，并据此如何决定继续、缩小或放弃？	<b>核心答案：</b><br>用连续K线的阶梯关系定义进场和退出，把趋势推进转成较明确的动作条件。<br><b>原文引用：</b><p>“基于上述条件，我们来专门为本书建立一个高效优秀且足够简单的系统，并对该系统2019年的表现做详细的连续追踪。由于该系统在本书首发，为便于记忆，我们就暂命名其为“阶梯双K交易法则”。”</p><p>“交易标的：”</p><p>“任意成交活跃品种，在这里我们选取USD/JPY，以1小时周期作为示范。”</p><br><b>总结提炼：</b><br>规则焦点：用连续K线的阶梯关系定义进场和退出，把趋势推进转成较明确的动作条件。<br>检验方式：把信号、进出场和仓位管理写成可重复执行的步骤。<br>复盘提醒：系统价值来自一致执行和边界，而非单次预测正确。<br><b>举例说明：</b><br><b>正面例子：</b>交易者把“阶梯双K规则”涉及的双K形态、进场位置、仓位和退出规则写成同一张执行清单，每次交易按相同顺序核对；任一条件不满足就放弃下单，不用临场感觉补充规则。<br><b>反面例子：</b>交易者只记得“阶梯双K规则”中一个看起来有效的K线形态，临盘再凭感觉补充仓位和退出理由，系统因此变成事后故事；亏损后又以市场特殊为由重写原来的规则。	交易的真相：从1000到1.83亿 第9章 一套简单有效的交易系统：阶梯双K交易法则 阶梯双K规则 应用判断 主动回忆
01_01_系统测试中，哪些交易机会才值得纳入样本，而不是把所有波动都当成机会？	<b>核心答案：</b><br>经典顺势单、识别骗局后的顺势单，以及极端情绪后的反转单。<br><b>原文引用：</b><p>“市场中值得做的单子，一共就以下三种。①符合多周期共振的经典顺势单，顺得不能再顺的那种。②通过市场骗局实现的顺势单，也就是通过识别骗局，达到顺大逆小的效果。而其他所谓的顺大逆小单，不是优质的单子，不做也罢。③极端情绪之后的反转单。”</p><br><b>总结提炼：</b><br>证据焦点：经典顺势单、识别骗局后的顺势单，以及极端情绪后的反转单。<br>检验方式：将样本、回撤、执行偏差和设定条件放在同一份记录中。<br>复盘提醒：测试用于暴露系统边界，不构成收益承诺。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“三类值得做的单子”按固定规则保留连续样本，同时记录顺境、逆境、回撤和执行偏差；只有把同一设定下的完整样本放在一起，才据此决定是否修正规则。<br><b>反面例子：</b>交易者只挑出“三类值得做的单子”中几笔漂亮交易证明方法有效，忽略回撤、漏执行和不利样本，随后把模拟结果当成收益保证；一旦环境转差便无从判断是规则失效还是自己未按规则执行。	交易的真相：从1000到1.83亿 第10章 为期半年的系统操作测试 三类值得做的单子 概念回忆 主动回忆
02_01_决策：当“逐笔复核”相关信号与仓位风险发生冲突时，应优先遵循什么规则，为什么？	<b>核心答案：</b><br>逐笔记录能让每次进出场、理由、无效信号和特殊规则都可复查。<br><b>原文引用：</b><p>“注意这里有两个地方我用三角形打了标记，第一个三角形处没有做空，因为这里虽然貌似有连续两根K线没有创新低，但是似乎恰好打平，要说满足规则比较勉强，所以就不做了。第二个三角形，首先因为时间段处于不允许开仓的时间段，其次，2号单子的止损已经在均线下形成上升阶梯，与均线方向矛盾，也是不能开仓的理由。”</p><br><b>总结提炼：</b><br>证据焦点：逐笔记录能让每次进出场、理由、无效信号和特殊规则都可复查。<br>检验方式：将样本、回撤、执行偏差和设定条件放在同一份记录中。<br>复盘提醒：测试用于暴露系统边界，不构成收益承诺。<br><b>举例说明：</b><br><b>正面例子：</b>交易者围绕“逐笔复核”按固定规则保留连续样本，同时记录顺境、逆境、回撤和执行偏差；只有把同一设定下的完整样本放在一起，才据此决定是否修正规则。<br><b>反面例子：</b>交易者只挑出“逐笔复核”中几笔漂亮交易证明方法有效，忽略回撤、漏执行和不利样本，随后把模拟结果当成收益保证；一旦环境转差便无从判断是规则失效还是自己未按规则执行。	交易的真相：从1000到1.83亿 第10章 为期半年的系统操作测试 逐笔复核 决策规则 主动回忆
